iter	Logloss
0	0.6887607122
1	0.6852805811
2	0.6817412249
3	0.6781243337
4	0.6739873563
5	0.6708506508
6	0.6671706757
7	0.6634161295
8	0.6603319252
9	0.6560766104
10	0.652516389
11	0.6495375024
12	0.6470936396
13	0.644805184
114	0.6410724798
15	0.6385151038
16	0.6353097302
17	0.6321764616
18	0.628765751
19	0.6257529542
20	0.6224828818
21	0.6199783537
22	0.6174067335
23	0.6150186921
24	0.6121377032
25	0.6096016993
26	0.6070821238
27	0.6041974139
28	0.6019578361
29	0.5998700671
30	0.5970705282
31	0.5942417272
32	0.5924242048
33	0.5900489138
34	0.587426353
35	0.5850751369
36	0.5822290055
37	0.5800069008
38	0.5780201142
39	0.5760272024
40	0.5735517867
41	0.5717090502
42	0.5697008165
43	0.5683754547
44	0.5665369645
45	0.5648649134
46	0.5630219972
47	0.5610489846
48	0.5588608807
49	0.5570195833
50	0.5558245009
51	0.5541888182
52	0.5524076086
53	0.5507298017
54	0.548925655
55	0.5476883946
56	0.5461332483
57	0.5445314828
58	0.5431665294
59	0.5413505137
60	0.5400104941
61	0.5388383335
62	0.5370438226
63	0.535663832
64	0.5340343656
65	0.5325510097
66	0.5312302773
67	0.5301246984
68	0.5283494739
69	0.5262957509
70	0.5247002382
71	0.5231401289
72	0.5218057555
73	0.5202055911
74	0.5188933319
75	0.5176115884
76	0.5165367985
77	0.5152605319
78	0.514290692
79	0.5127282521
80	0.5114672802
81	0.5103234233
82	0.5094515481
83	0.5085134647
84	0.5074027694
85	0.5062973778
86	0.504995546
87	0.50367081
88	0.5024025652
89	0.5011090	0.590	0.5000091	0.91	0.498792	0.4992	0.497793	0.4976095082
94	0.496645455
95	0.4955343926
96	0.494542225
97	0.4935817565
98	0.4926804964
99	0.4914785995
100	0.4903092114
101	0.4892456278
102	0.4881868249
103	0.487320535
104	0.4865479866
105	0.4856957278
106	0.4846298294
107	0.4837868425
108	0.4828944796
109	0.4821785229
110	0.4813573425
111	0.4804588818
112	0.4795140453
113	0.478158435
114	0.4772833713
115	0.4764687698
116	0.475754783
117	0.4747631228
118	0.473929853
119	0.4731629404
120	0.4719031659
121	0.4710258245
122	0.4699797329
123	0.4693793561
124	0.468338684
125	0.4675323798
126	0.4665640123
127	0.4660210491
128	0.4650144041
129	0.4640946062
130	0.4632721479
131	0.4622725958
132	0.4613720276
133	0.4607134367
134	0.4599024478
135	0.4592466229
136	0.458738282
137	0.4580645824
138	0.4574144918
139	0.4570474568
140	0.4562656004
141	0.4555512523
142	0.454650773
143	0.4538667698
144	0.452825549
145	0.4523871031
146	0.4518152927
147	0.4510578998
148	0.4502468294
149	0.449365215
150	0.4486751617
151	0.4479040916
152	0.4473765807
153	0.4468720729
154	0.445584963
155	0.4449202843
156	0.4441856263
157	0.4437746803
158	0.443144889
159	0.4421878053
160	0.441376301
161	0.441124449
162	0.4405905449
163	0.4399962919
164	0.4392353224
165	0.4388017161
166	0.4382728799
167	0.4379020343
168	0.4374185596
169	0.4367613912
170	0.4364066521
171	0.4358796322
172	0.4354655814
173	0.4351346187
174	0.4343572313
175	0.4335467825
176	0.4327204328
177	0.4322002841
178	0.431484988
179	0.4311136873
180	0.4305593278
181	0.4301085245
182	0.4296718355
183	0.4293335171
184	0.4290778077
185	0.4286848741
186	0.4280296836
187	0.4275116641
188	0.4268904933
189	0.4262669934
190	0.4256393983
191	0.4251432183
192	0.4246074284
193	0.4242246792
194	0.4236406555
195	0.423400923
196	0.4227963987
197	0.4223670904
198	0.4220708305
199	0.4216019512
200	0.4210094983
201	0.4206483157
202	0.4203277112
203	0.4198400116
204	0.4194981339
205	0.419024785
206	0.4184173453
207	0.4176583156
208	0.4170117461
209	0.4165409967
210	0.4159915744
211	0.4151921389
212	0.414919762
213	0.4144131298
214	0.414186039
215	0.4137251516
216	0.4132186837
217	0.4128126057
218	0.4122336509
219	0.4117609297
220	0.4115162187
221	0.4109808822
222	0.4105879653
223	0.4100059978
224	0.4093922625
225	0.4089143966
226	0.408449329
227	0.4080342978
228	0.4074788775
229	0.4070469953
230	0.4066696786
231	0.4061833831
232	0.4058474524
233	0.4050822343
234	0.4046344012
235	0.4043899001
236	0.4039156546
237	0.4034981221
238	0.4034457058
239	0.4031657695
240	0.4027343893
241	0.4025059557
242	0.4020327621
243	0.4018571781
244	0.4015140687
245	0.4010049119
246	0.4005051535
247	0.4002428857
248	0.3997770839
249	0.3993470392
250	0.3990939116
251	0.3985714185
252	0.3982523851
253	0.3979211003
254	0.3973564136
255	0.3965461466
256	0.3963382819
257	0.3957970582
258	0.3955164412
259	0.3951644606
260	0.3946545722
261	0.394268683
262	0.3939283865
263	0.3936457551
264	0.393261345
265	0.3927455907
266	0.3924299405
267	0.3920189252
268	0.3915786031
269	0.3912031304
270	0.3908099041
271	0.3903883142
272	0.3900444419
273	0.3896297624
274	0.3893513353
275	0.3890794894
276	0.3887946855
277	0.3885898491
278	0.3881745425
279	0.3877183884
280	0.3873538441
281	0.3869876378
282	0.3867193983
283	0.3862566565
284	0.3861421736
285	0.3856620436
286	0.385084686
287	0.3847314279
288	0.3843564127
289	0.384214227
290	0.3839077785
291	0.3835961478
292	0.3833813345
293	0.3829967022
294	0.3824056362
295	0.3819992022
296	0.3817651813
297	0.3814814918
298	0.3810519822
299	0.3806439726
300	0.3802081003
301	0.3799357341
302	0.3797245856
303	0.3796375546
304	0.3794637565
305	0.3792013043
306	0.3787184156
307	0.3781951551
308	0.377999763
309	0.3777482054
310	0.3774039077
311	0.3770511772
312	0.3769005088
313	0.3765910333
314	0.3763905908
315	0.3763233995
316	0.3758130019
317	0.3755558798
318	0.3752313417
319	0.375018763
320	0.3745318037
321	0.3742766126
322	0.3738997391
323	0.3735980066
324	0.3732765958
325	0.3730477336
326	0.3727512039
327	0.3723877281
328	0.3719712591
329	0.3717234646
330	0.3715213573
331	0.3712847603
332	0.3707496214
333	0.3703050439
334	0.3699877653
335	0.3697319909
336	0.3693934384
337	0.3690726736
338	0.3688709403
339	0.3686949607
340	0.368560722
341	0.3682710843
342	0.3678709809
343	0.3675843821
344	0.3674848472
345	0.3672889205
346	0.3668616604
347	0.3666928135
348	0.3664492197
349	0.3659756492
350	0.3658047578
351	0.3656208252
352	0.365301271
353	0.364896288
354	0.3646075067
355	0.3643743225
356	0.3640264466
357	0.3635510717
358	0.3629012708
359	0.3622842941
360	0.3620392518
361	0.361771148
362	0.3614578313
363	0.361060442
364	0.3608950807
365	0.3605525353
366	0.3603044284
367	0.3598953279
368	0.3595110676
369	0.3592976233
370	0.3591449662
371	0.3589462753
372	0.3587511323
373	0.3584959852
374	0.3582737726
375	0.3580180615
376	0.3578182186
377	0.3575749265
378	0.3572799823
379	0.3570282053
380	0.3565279401
381	0.3562400336
382	0.3560813026
383	0.3558149778
384	0.3555778774
385	0.3552750373
386	0.3550498168
387	0.3548359528
388	0.3546385205
389	0.3544246591
390	0.3542475969
391	0.3540517984
392	0.3538220401
393	0.3535165773
394	0.353366924
395	0.3529981313
396	0.3527489218
397	0.352326537
398	0.3520626433
399	0.3519127339
400	0.3515852652
401	0.3511526631
402	0.3510197251
403	0.350745316
404	0.3505458524
405	0.3503069929
406	0.3500887867
